year,Liab,Assets
1989,43.98507156,43.38749074
1990,43.01719026,40.50973782
1991,46.26385709,42.31275441
1992,46.67494437,40.04753136
1993,48.93892434,47.16344935
1994,48.64598868,47.1322323
1995,57.2262518,53.59305653
1996,63.42158585,59.35493109
1997,73.73594471,64.54655128
1998,81.67874293,70.27196952
1999,89.44047777,79.03342688
2000,89.52656402,74.5422097
2001,89.44643937,67.76333981
2002,86.64745623,64.60767136
2003,95.24971798,75.2432004
2004,106.0478249,86.70265349
2005,116.7085192,102.4623145
2006,123.2037086,110.2731951
2007,141.9879879,132.3110893
2008,155.9332977,137.2452559
2009,151.5554546,130.1681523
2010,157.5324478,138.8308378
2011,165.8368117,143.3496051
2012,166.6739453,136.9798114
2013,167.8784372,136.8946466
2014,175.2695023,141.1918838
2015,172.5544175,133.63127
2016,173.1072472,130.3329366
2017,175.0565704,135.5947482
2018,173.3466614,130.0784631
2019,180.4965334,130.7975701
2020,198.0094761,136.3865539
